Figura 6.2.1 Indicadores de população residente, Portugal (série longa);;;;;;;;;;;Índice
;;;;;;;;;;;
Anos;;População residente (N.º) (a);;;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa de crescimento efetivo;Índice de envelhecimento (N.º);;;
;;HM;H;M;(%);;;HM;H;M;
1900 ;;5 446 760;x;x;x;x;x;x;x;x;
1911 ;;5 999 146;x;x;x;x;x;x;x;x;
1920 ;;6 080 135;x;x;x;x;x;x;x;x;
1930 ;;6 802 429;x;x;x;x;x;x;x;x;
1940 ;;7 755 423;3 734 348;4 021 075;x;x;x;20,2;15,8;24,7;
1950 ;;8 510 240;4 120 184;4 390 056;1,21;-1,16;0,05;23,7;18,3;29,3;
1960 ;;8 889 392;4 254 416;4 634 976;1,34;-0,63;0,72;27,3;21,3;33,6;
1970 ;;8 663 252;4 109 360;4 553 892;1,01;-1,40;-0,40;34,0;26,7;41,5;
1980 ;;9 818 980;4 730 690;5 088 290;0,65;0,43;1,08;44,9;35,7;54,4;
1981 ;;9 883 670;4 762 918;5 120 752;0,57;0,08;0,66;46,0;36,6;55,8;
1982 ;;9 939 871;4 791 219;5 148 652;0,59;-0,02;0,57;47,0;37,4;57,1;
1983 ;;9 975 859;4 809 921;5 165 938;0,48;-0,12;0,36;48,0;38,1;58,3;
1984 ;;10 016 605;4 830 522;5 186 083;0,46;-0,05;0,41;49,1;39,0;59,8;
1985 ;;10 030 621;4 837 388;5 193 233;0,33;-0,19;0,14;51,3;40,7;62,3;
1986 ;;10 034 846;4 839 557;5 195 289;0,31;-0,27;0,04;53,6;42,7;65,0;
1987 ;;10 025 215;4 834 731;5 190 484;0,28;-0,38;-0,10;56,4;45,1;68,2;
1988 ;;10 014 005;4 828 820;5 185 185;0,24;-0,35;-0,11;59,5;47,8;71,8;
1989 ;;9 995 995;4 819 318;5 176 677;0,23;-0,41;-0,18;63,5;51,2;76,3;
1990 ;;9 970 441;4 806 553;5 163 888;0,14;-0,39;-0,26;68,1;55,3;81,5;
1991 ;;9 950 029;4 795 177;5 154 852;0,12;-0,33;-0,20;72,1;58,5;86,3;
1992 ;;9 954 958;4 796 090;5 158 868;0,14;-0,09;0,05;75,7;61,4;90,7;
1993 ;;9 974 391;4 804 894;5 169 497;0,08;0,11;0,20;78,8;63,9;94,5;
1994 ;;10 008 659;4 821 929;5 186 730;0,10;0,24;0,34;82,2;66,6;98,6;
1995 ;;10 043 693;4 839 946;5 203 747;0,04;0,31;0,35;85,8;69,4;103,0;
1996 ;;10 084 196;4 860 523;5 223 673;0,03;0,37;0,40;88,9;72,0;106,8;
1997 ;;10 133 758;4 885 382;5 248 376;0,08;0,41;0,49;92,2;74,6;110,7;
1998 ;;10 186 634;4 912 169;5 274 465;0,07;0,45;0,52;94,9;76,8;114,0;
1999 ;;10 249 022;4 944 150;5 304 872;0,08;0,53;0,61;97,1;78,7;116,6;
2000 ;;10 330 774;4 986 458;5 344 316;0,14;0,65;0,79;100,6;81,5;120,7;
2001 ;;10 394 669;5 019 374;5 375 295;0,07;0,54;0,62;102,6;83,0;123,2;
