Figura 6.2.2 Indicadores de natalidade, Portugal (série longa);;;;;;;;;;Índice
;;;;;;;;;;
Anos;Nados-vivos (N.º) (a) (b);;;;;Taxa bruta de natalidade;Índice sintético de fecundidade;Idade média da mulher ao nascimento do primeiro filho;Idade média da mulher ao nascimento de um filho;
;Total;;;Fora do casamento;;;;;;
;HM;H;M;;;(‰);(N.º);(anos);;
1900 ; 165 245; 85 274; 79 971; 19 236;;30,6;x;x;x;
1910 ; 186 953; 96 845; 90 108; 20 601;;31,7;x;x;x;
1920 ; 202 908; 103 984; 98 924; 27 274;;33,7;x;x;x;
1930 ; 202 529; 103 928; 98 601; 29 409;;29,8;x;x;x;
1940 ; 187 892; 97 147; 90 745; 29 463;;24,4;x;x;x;
1950 ; 205 163; 106 025; 99 138; 24 132;;24,3;x;x;x;
1960 ; 213 895; 110 485; 103 410; 20 221;;24,1;3,10;x;x;
1970 ; 180 690; 93 223; 87 467; 13 042; (c);20,8;2,80;x;x;
1980 ; 158 309; 81 624; 76 685; 14 558;;16,2;2,25;24,0;27,2;
1981 ; 152 071; 78 331; 73 740; 14 434;;15,4;2,13;24,0;27,2;
1982 ; 151 002; 77 846; 73 156; 15 159;;15,2;2,08;24,0;27,2;
1983 ; 144 296; 74 792; 69 504; 15 441;;14,5;1,96;23,9;27,1;
1984 ; 142 783; 73 884; 68 899; 16 395;;14,3;1,91;24,0;27,1;
1985 ; 130 450; 67 331; 63 119; 16 088;;13,0;1,73;24,2;27,2;
1986 ; 126 715; 65 408; 61 307; 16 158;;12,6;1,67;24,2;27,1;
1987 ; 123 179; 63 549; 59 630; 16 315;;12,3;1,63;24,4;27,2;
1988 ; 122 093; 63 008; 59 085; 16 731;;12,2;1,62;24,5;27,2;
1989 ; 118 483; 60 858; 57 625; 17 212;;11,8;1,58;24,7;27,2;
1990 ; 116 321; 59 918; 56 403; 17 095;;11,7;1,57;24,9;27,3;
1991 ; 116 299; 59 862; 56 437; 18 122;;11,7;1,56;25,1;27,5;
1992 ; 114 924; 58 844; 56 080; 18 478;;11,5;1,54;25,2;27,6;
1993 ; 113 960; 58 388; 55 572; 19 298;;11,4;1,52;25,4;27,7;
1994 ; 109 227; 56 439; 52 788; 19 464;;10,9;1,45;25,6;27,8;
1995 ; 107 097; 55 662; 51 435; 19 972;;10,7;1,41;25,8;28,0;
1996 ; 110 261; 57 324; 52 937; 20 563;;11,0;1,45;25,9;28,1;
1997 ; 112 933; 58 037; 54 896; 22 063;;11,2;1,47;26,0;28,2;
1998 ; 113 384; 58 530; 54 854; 22 802;;11,2;1,48;26,1;28,4;
1999 ; 116 002; 59 774; 56 228; 24 186;;11,4;1,51;26,4;28,5;
2000 ; 120 008; 62 222; 57 786; 26 642;;11,7;1,55;26,5;28,6;
2001 ; 112 774; 58 365; 54 409; 26 814;;10,9;1,45;26,6;28,8;
