Figura 6.2.3 Indicadores de mortalidade, Portugal (série longa);;;;;;;;;;;;;;;;;;;;;;;;;;Índice
;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;Óbitos (N.º);;;;;;;;;;;;;;Taxa bruta de mortalidade;;Taxa de mortalidade infantil;;Taxa de mortalidade neonatal;Taxa de mortalidade perinatal;;Taxa de mortalidade fetal tardia;;Esperança de vida à nascença (d);;
;Total (a) (b);;;;;;Menos de 1 ano (c);;Neonatais;;Perinatais;;Fetais tardios (28 ou mais semanas);;;;;;;;;;;;;
;HM;;H;;M;;;;;;;;;;(‰);;;;;;;;;(Anos);;
1900 ; 110 330;; 56 304;; 54 026;;x;;x;;x;;x;;20,4;;x;;x;x;;x;;x;;
1910 ; 113 161;; 58 132;; 55 653;; 25 024;;x;;x;;x;;19,2;;133,9;;x;x;;x;;x;;
1920 ; 142 862;; 72 220;; 70 662;; 33 302;;x;;x;;x;;23,7;;164,1;;x;x;;x;;x;;
1930 ; 116 352;; 59 508;; 56 844;; 29 077;;x;;x;;x;;17,1;;143,6;;x;x;;x;;x;;
1940 ; 120 486;; 60 930;; 59 556;; 23 690;;x;;x;;x;;15,7;;126,1;;x;x;;x;;x;;
1950 ; 102 798;; 52 366;; 50 432;; 19 308;;x;;x;;x;;12,2;;94,1;;x;x;;x;;x;;
1960 ; 94 883;; 48 110;; 46 773;; 16 576;;x;;x;;x;;10,7;;77,5;;x;x;;x;;x;;
1970 ; 92 854;; 47 179;; 45 675;; 10 026;;x;;x;;x;;10,7;;55,5;;x;x;;x;;x;;
1980 ; 94 794;; 49 475;; 45 319;; 3 839;; 2 436;; 3 810;; 1 872;;9,7;;24,3;;15,4;23,8;;11,7;;x;;
1981 ; 95 728;; 50 043;; 45 685;; 3 309;; 2 197;; 3 472;; 1 680;;9,7;;21,8;;14,4;22,6;;10,9;;x;;
1982 ; 92 379;; 48 339;; 44 040;; 2 985;; 2 078;; 3 345;; 1 599;;9,3;;19,8;;13,8;21,9;;10,5;;71,78;;
1983 ; 96 179;; 50 045;; 46 134;; 2 776;; 1 866;; 3 049;; 1 502;;9,7;;19,2;;12,9;20,9;;10,3;;72,11;;
1984 ; 96 975;; 50 762;; 46 213;; 2 379;; 1 612;; 2 758;; 1 396;;9,7;;16,7;;11,3;19,1;;9,7;;72,30;;
1985 ; 97 085;; 50 820;; 46 265;; 2 317;; 1 578;; 2 582;; 1 255;;9,7;;17,8;;12,1;19,6;;9,5;;72,66;;
1986 ; 95 521;; 49 796;; 45 725;; 2 008;; 1 362;; 2 311;; 1 155;;9,5;;15,8;;10,7;18,1;;9,0;;72,86;;
1987 ; 95 102;; 49 582;; 45 520;; 1 744;; 1 211;; 2 065;; 1 035;;9,5;;14,2;;9,8;16,6;;8,3;;73,23;;
1988 ; 97 844;; 51 246;; 46 598;; 1 584;; 1 051;; 1 857;;  961;;9,8;;13,0;;8,6;15,1;;7,8;;73,61;;
1989 ; 95 743;; 50 046;; 45 697;; 1 435;;  950;; 1 730;;  931;;9,6;;12,1;;8,0;14,5;;7,8;;73,80;;
1990 ; 102 768;; 53 193;; 49 575;; 1 266;;  804;; 1 453;;  800;;10,3;;10,9;;6,9;12,4;;6,8;;73,93;;
1991 ; 103 882;; 54 185;; 49 697;; 1 254;;  803;; 1 418;;  782;;10,4;;10,8;;6,9;12,1;;6,8;;73,97;;
1992 ; 100 638;; 52 938;; 47 700;; 1 052;;  682;; 1 251;;  716;;10,1;;9,2;;5,9;10,8;;6,2;;73,97;;
